"","Item","Prop","Value"
"4361","Q110247296","P1153","57221763434"
"4362","Q110247297","P496","""0000-0003-0881-5987"""
"4363","Q39855692","P496","""0000-0001-9569-6909"""
"4364","Q39855692","P1153","54916858400"
"4365","Q39855692","P1053","""C-2029-2013"""
"4366","Q55414316","P1153","20035004600"
"4367","Q110247299","P1153","57212112960"
"4368","Q110247558","P496","""0000-0001-5661-5336"""
"4369","Q110247558","P1153","57192065459"
"4370","Q99557497","P1153","56693243900"
"4371","Q110247559","P1153","57188662264"
"4372","Q60492814","P496","""0000-0002-9024-8338"""
"4373","Q60492814","P1153","57203684062"
"4374","Q110247560","P496","""0000-0003-2044-3960"""
"4375","Q110247560","P1153","57200614167"
"4376","Q110247561","P1153","57014533500"
"4377","Q110247564","P1153","7402778432"
"4378","Q110247565","P496","""0000-0002-6479-7720"""
"4379","Q110247565","P1153","55496508800"
"4380","Q110247566","P1153","8744367000"
"4381","Q5648881","P1153","56702440300"
"4382","Q88003044","P496","""0000-0002-3308-2343"""
"4383","Q88003044","P1153","57216635746"
"4384","Q110247567","P1153","55279487700"
"4385","Q110247568","P496","""0000-0002-1955-8771"""
"4386","Q110247568","P1153","57192556280"
"4387","Q37840589","P1153","36337087100"
"4388","Q110247569","P496","""0000-0003-4297-9336"""
"4389","Q110247569","P1153","56540834800"
"4390","Q90123694","P496","""0000-0003-1960-3453"""
"4391","Q90123694","P1153","57215827350"
"4392","Q110247570","P1153","15519975400"
"4393","Q110247571","P1153","56419701400"
"4394","Q110247572","P1153","57212586134"
"4395","Q91751236","P496","""0000-0001-7093-2100"""
"4396","Q91751236","P1153","57200612120"
"4397","Q110247574","P496","""0000-0003-3594-2746"""
"4398","Q110247574","P1153","50461872500"
"4399","Q110247576","P1153","57212150870"
"4400","Q110247577","P1153","57197458381"
"4401","Q98784835","P1153","7006956917"
"4402","Q57308543","P496","""0000-0002-8329-0722"""
"4403","Q57308543","P1153","7005812216"
"4404","Q57308543","P1053","""B-4439-2011"""
"4405","Q110247578","P496","""0000-0001-9580-5933"""
"4406","Q110247578","P1153","6602849021"
"4407","Q110247579","P1153","25948559000"
"4408","Q57235096","P496","""0000-0002-4473-1636"""
"4409","Q57235096","P1153","7004168810"
"4410","Q57235096","P1053","""A-5262-2008"""
"4411","Q110247580","P1153","57195946835"
"4412","Q110247581","P1153","36601202200"
"4413","Q110247582","P1153","57212537798"
"4414","Q91803751","P496","""0000-0002-3422-5756"""
"4415","Q91803751","P1153","57190961015"
"4416","Q90083300","P496","""0000-0001-7788-9061"""
"4417","Q90083300","P1153","57208574762"
"4418","Q55458975","P1153","15520249500"
"4419","Q110247583","P1153","57201353424"
"4420","Q57303740","P496","""0000-0003-2687-9810"""
"4421","Q57303740","P1153","36544213300"
"4422","Q87977235","P1153","57191709000"
"4423","Q110247584","P496","""0000-0002-4832-7227"""
"4424","Q110247584","P1153","47561618100"
"4425","Q110247585","P496","""0000-0002-6051-8632"""
"4426","Q110247585","P1153","57204504791"
"4427","Q110247587","P496","""0000-0002-7560-7398"""
"4428","Q110247587","P1153","57201435753"
"4429","Q110247589","P496","""0000-0001-5091-6541"""
"4430","Q110247589","P1153","35838401200"
"4431","Q61268255","P496","""0000-0003-0848-9640"""
"4432","Q61268255","P1153","7201894383"
"4433","Q110247590","P496","""0000-0002-0975-877X"""
"4434","Q110247590","P1153","57202996633"
"4435","Q58197116","P496","""0000-0001-7769-3384"""
"4436","Q58197116","P1153","14037618200"
"4437","Q58197116","P1053","""B-6626-2013"""
"4438","Q82443300","P496","""0000-0003-3754-7299"""
"4439","Q82443300","P1153","53878079300"
"4440","Q110247591","P496","""0000-0001-7970-3849"""
"4441","Q92663321","P496","""0000-0003-0490-9169"""
"4442","Q92663321","P1153","57214723775"
"4443","Q110247592","P496","""0000-0002-0969-5203"""
"4444","Q110247592","P1153","57200330502"
"4445","Q85530751","P496","""0000-0003-1945-0418"""
"4446","Q85530751","P1153","55505195200"
"4447","Q85530751","P1053","""M-8915-2013"""
"4448","Q94917098","P496","""0000-0003-3978-786X"""
"4449","Q94917098","P1153","37066254900"
"4450","Q110247594","P1153","56584414700"
"4451","Q98563602","P496","""0000-0002-6827-7976"""
"4452","Q98563602","P1153","56053027500"
"4453","Q110247595","P496","""0000-0002-1284-2059"""
"4454","Q110247595","P1153","15519641300"
"4455","Q110247596","P1153","55153730600"
"4456","Q63012961","P1153","6507502568"
"4457","Q110247597","P1153","57204952099"
"4458","Q93435840","P496","""0000-0002-1256-5012"""
"4459","Q93435840","P1153","24783605500"
"4460","Q93435840","P1053","""O-8578-2019"""
"4461","Q110247598","P1153","57201130979"
"4462","Q110247599","P1153","57074178700"
"4463","Q110247600","P1153","6507583459"
"4464","Q91643743","P496","""0000-0002-9078-9601"""
"4465","Q91643743","P1153","55764973100"
"4466","Q110247601","P1153","7101923957"
"4467","Q110247602","P1153","23025065200"
"4468","Q84946497","P496","""0000-0001-7374-5757"""
"4469","Q84946497","P1153","35107642500"
"4470","Q57106486","P496","""0000-0002-1935-1367"""
"4471","Q57106486","P1153","7102641672"
"4472","Q63993843","P496","""0000-0002-8114-8781"""
"4473","Q63993843","P1153","57194150696"
"4474","Q110247603","P496","""0000-0002-3088-1035"""
"4475","Q110247603","P1153","55973668900"
"4476","Q91521114","P496","""0000-0002-7620-5075"""
"4477","Q91521114","P1153","57193895517"
"4478","Q47976708","P496","""0000-0001-5879-4139"""
"4479","Q47976708","P1153","12773270500"
"4480","Q110247604","P496","""0000-0001-6153-7475"""
"4481","Q110247604","P1153","56433691500"
"4482","Q110247606","P496","""0000-0001-8862-6435"""
"4483","Q110247606","P1153","57203588070"
"4484","Q110247607","P496","""0000-0003-4378-8937"""
"4485","Q110247607","P1153","16413556600"
"4486","Q110247607","P1053","""J-7181-2014"""
"4487","Q89004568","P496","""0000-0001-7854-7549"""
